TIMESTAMP		DIRECTION	DATA
2016-11-16 19:26:27	<<		7E80641010007E100
2016-11-16 19:26:32	>>		0101
2016-11-16 19:26:32	<<		7E80641010007E100
2016-11-16 19:26:37	>>		0101
2016-11-16 19:26:37	<<		7E80641010007E100
2016-11-16 19:26:42	>>		0101
2016-11-16 19:26:42	<<		7E80641010007E100
2016-11-16 19:26:48	>>		0101
2016-11-16 19:26:48	<<		7E80641010007E100
2016-11-16 19:26:53	>>		0101
2016-11-16 19:26:53	<<		7E80641010007E100
2016-11-16 19:26:58	>>		0101
2016-11-16 19:26:58	<<		7E80641010007E100
2016-11-16 19:27:03	>>		0101
2016-11-16 19:27:04	<<		7E80641010007E100
2016-11-16 19:27:09	>>		0101
2016-11-16 19:27:09	<<		7E80641010007E100
2016-11-16 19:27:14	>>		0101
2016-11-16 19:27:14	<<		7E80641010007E100
2016-11-16 19:27:19	>>		0101
2016-11-16 19:27:20	<<		7E80641010007E100
2016-11-16 19:27:25	>>		0101
2016-11-16 19:27:25	<<		7E80641010007E100
2016-11-16 19:27:30	>>		0101
2016-11-16 19:27:30	<<		7E80641010007E100
2016-11-16 19:27:35	>>		0101
2016-11-16 19:27:36	<<		7E80641010007E100
2016-11-16 19:27:41	>>		0101
2016-11-16 19:27:41	<<		7E80641010007E100
2016-11-16 19:27:46	>>		0101
2016-11-16 19:27:46	<<		7E80641010007E100
2016-11-16 19:27:51	>>		0101
2016-11-16 19:27:51	<<		7E80641010007E100
2016-11-16 19:27:56	>>		0101
2016-11-16 19:27:57	<<		7E80641010007E100
2016-11-16 19:28:02	>>		0101
2016-11-16 19:28:02	<<		7E80641010007E100
2016-11-16 19:28:07	>>		0101
2016-11-16 19:28:07	<<		7E80641010007E100
2016-11-16 19:28:12	>>		0101
2016-11-16 19:28:13	<<		7E80641010007E100
2016-11-16 19:28:18	>>		0101
2016-11-16 19:28:18	<<		7E80641010007E100
2016-11-16 19:28:23	>>		0101
2016-11-16 19:28:23	<<		7E80641010007E100
2016-11-16 19:28:28	>>		0101
2016-11-16 19:28:29	<<		7E80641010007E100
2016-11-16 19:28:34	>>		0101
2016-11-16 19:28:34	<<		7E80641010007E100
2016-11-16 19:28:39	>>		0101
2016-11-16 19:28:39	<<		7E80641010007E100
2016-11-16 19:28:44	>>		0101
2016-11-16 19:28:45	<<		7E80641010007E100
2016-11-16 19:28:50	>>		0101
2016-11-16 19:28:50	<<		7E80641010007E100
2016-11-16 19:28:54	>>		0105
2016-11-16 19:28:54	<<		7E803410580
2016-11-16 19:28:54	>>		010C
2016-11-16 19:28:54	<<		7E804410C1AA9
2016-11-16 19:28:54	>>		010D
2016-11-16 19:28:55	<<		7E803410D33
2016-11-16 19:28:55	>>		010F
2016-11-16 19:28:55	<<		7E803410F57
2016-11-16 19:28:55	>>		0105
2016-11-16 19:28:55	<<		7E803410580
2016-11-16 19:28:55	>>		010C
2016-11-16 19:28:55	<<		7E804410C1AA7
2016-11-16 19:28:55	>>		010D
2016-11-16 19:28:56	<<		7E803410D32
2016-11-16 19:28:56	>>		010F
2016-11-16 19:28:56	<<		7E803410F57
2016-11-16 19:28:56	>>		0105
2016-11-16 19:28:56	<<		7E803410580
2016-11-16 19:28:56	>>		010C
2016-11-16 19:28:57	<<		7E804410C1A2F
2016-11-16 19:28:57	>>		010D
2016-11-16 19:28:57	<<		7E803410D32
2016-11-16 19:28:57	>>		010F
2016-11-16 19:28:57	<<		7E803410F58
2016-11-16 19:28:57	>>		0105
2016-11-16 19:28:57	<<		7E803410580
2016-11-16 19:28:57	>>		010C
2016-11-16 19:28:58	<<		7E804410C1A82
2016-11-16 19:28:58	>>		010D
2016-11-16 19:28:58	<<		7E803410D32
2016-11-16 19:28:58	>>		010F
2016-11-16 19:28:58	<<		7E803410F58
2016-11-16 19:28:58	>>		0105
2016-11-16 19:28:58	<<		7E803410580
2016-11-16 19:28:58	>>		010C
2016-11-16 19:28:59	<<		7E804410C1A9C
2016-11-16 19:28:59	>>		010D
2016-11-16 19:28:59	<<		7E803410D33
2016-11-16 19:28:59	>>		010F
2016-11-16 19:28:59	<<		7E803410F57
2016-11-16 19:28:59	>>		0105
2016-11-16 19:29:00	<<		7E803410580
2016-11-16 19:29:00	>>		010C
2016-11-16 19:29:00	<<		7E804410C1B17
2016-11-16 19:29:00	>>		010D
2016-11-16 19:29:00	<<		7E803410D33
2016-11-16 19:29:00	>>		010F
2016-11-16 19:29:00	<<		7E803410F57
2016-11-16 19:29:00	>>		0105
2016-11-16 19:29:01	<<		7E803410580
2016-11-16 19:29:01	>>		010C
2016-11-16 19:29:01	<<		7E804410C1B0D
2016-11-16 19:29:01	>>		010D
2016-11-16 19:29:01	<<		7E803410D33
2016-11-16 19:29:01	>>		010F
2016-11-16 19:29:01	<<		7E803410F57
2016-11-16 19:29:01	>>		0105
2016-11-16 19:29:02	<<		7E803410580
2016-11-16 19:29:02	>>		010C
2016-11-16 19:29:02	<<		7E804410C1AB7
2016-11-16 19:29:02	>>		010D
2016-11-16 19:29:02	<<		7E803410D33
2016-11-16 19:29:02	>>		010F
2016-11-16 19:29:02	<<		7E803410F56
2016-11-16 19:29:02	>>		0105
2016-11-16 19:29:03	<<		7E803410580
2016-11-16 19:29:03	>>		010C
2016-11-16 19:29:03	<<		7E804410C1A30
2016-11-16 19:29:03	>>		010D
2016-11-16 19:29:03	<<		7E803410D32
2016-11-16 19:29:03	>>		010F
2016-11-16 19:29:04	<<		7E803410F56
2016-11-16 19:29:04	>>		0105
2016-11-16 19:29:04	<<		7E803410580
2016-11-16 19:29:04	>>		010C
2016-11-16 19:29:04	<<		7E804410C1ABD
2016-11-16 19:29:04	>>		010D
2016-11-16 19:29:04	<<		7E803410D32
2016-11-16 19:29:04	>>		010F
2016-11-16 19:29:05	<<		7E803410F57
2016-11-16 19:29:05	>>		0105
2016-11-16 19:29:05	<<		7E803410580
2016-11-16 19:29:05	>>		010C
2016-11-16 19:29:05	<<		7E804410C1B5B
2016-11-16 19:29:05	>>		010D
2016-11-16 19:29:05	<<		7E803410D34
2016-11-16 19:29:05	>>		010F
2016-11-16 19:29:06	<<		7E803410F56
